contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
lombiqbot,229,4,9,3,0.333,7.54,2.696,12.578,0.654,9.619,25.444,2.0,59.395,0.784,13.0,1.333,1.0,0.5,0.167,1.0,4.089,1.5,5.804,0.577,3.25,22.001,0.0,65.193,0.715,11.556,8.857,2.86,15.1,0.682,11.23,8.662,1.659,17.013,0.715,9.669,57.25,9.5,99.242,0.669,55.75
db-queries[bot],300,1,1,1,1.0,4.494,0.175,11.768,0.851,2.127,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1343.797,1343.797,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
ftchirou,32,8,5,5,1.0,59.86,0.134,172.295,0.896,1.641,6.4,1.0,12.075,0.675,0.0,2.2,1.0,2.683,0.436,0.0,6.4,1.0,12.075,0.675,0.0,171.445,0.0,383.362,0.0,0.0,249.612,233.015,223.144,0.429,222.131,55.806,0.114,175.211,0.909,1.061,4.0,4.0,1.69,0.203,0.5
samsondav,249,7,6,1,0.167,6.767,0.088,21.628,0.904,0.655,41.5,10.0,81.542,0.738,18.25,4.0,4.0,2.966,0.361,5.5,6.553,2.5,10.587,0.62,3.75,23.852,0.138,73.941,0.855,3.334,20.861,0.384,38.42,0.786,22.351,8.169,0.162,22.959,0.882,0.896,35.571,16.0,30.429,0.392,30.5
twlbot,204,3,1,1,1.0,3.316,0.043,11.308,0.847,0.926,204.0,204.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,204.0,204.0,0.0,0.0,0.0,673.161,673.161,0.0,0.0,0.0,,,0.0,0.0,,2.743,0.0,11.818,0.888,0.369,68.0,98.0,58.129,0.34,52.0
necolas,242,12,7,3,0.429,3.083,0.031,8.81,0.868,0.579,34.571,15.0,54.353,0.659,33.5,5.143,5.0,4.14,0.413,6.0,5.902,3.0,6.785,0.558,7.0,8.641,0.052,25.222,0.817,1.35,9.72,1.81,13.653,0.654,20.047,3.908,0.055,10.007,0.839,1.541,20.167,14.0,13.395,0.326,11.25
maxgekk,222,7,2,2,1.0,1.713,0.059,4.936,0.856,0.584,111.0,111.0,140.007,0.446,99.0,4.0,4.0,2.828,0.25,2.0,8.88,2.0,12.005,0.634,10.0,10.839,0.592,15.911,0.436,20.959,4.484,0.988,10.984,0.803,3.372,1.92,0.059,5.42,0.846,1.149,31.714,34.0,26.525,0.418,25.5
github-roobot,23,1,1,1,1.0,82.513,20.437,121.528,0.681,123.018,23.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,1815.275,1815.275,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,23.0,23.0,0.0,0.0,0.0
teebot,13,7,7,5,0.714,110.764,0.294,209.374,0.782,114.81,1.857,2.0,1.069,0.264,1.0,1.429,1.0,0.787,0.229,0.5,1.444,1.0,1.014,0.256,0.0,0.069,0.0,0.201,0.478,0.0,166.068,27.336,241.663,0.673,300.969,112.786,0.248,228.177,0.8,54.168,1.857,1.0,1.464,0.33,1.0
wkeese,64,9,15,6,0.4,29.449,0.4,65.749,0.822,19.092,4.267,2.0,3.9,0.448,4.5,2.0,2.0,0.756,0.169,0.0,1.778,1.0,1.174,0.295,1.0,5.51,0.0,18.97,0.836,0.067,47.342,7.607,82.388,0.743,54.582,23.838,1.307,51.338,0.802,19.099,7.111,6.0,6.882,0.469,4.0
