contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
drstrangelooker,206,13,15,1,0.067,10.43,0.057,38.585,0.92,0.512,13.733,6.0,22.676,0.637,6.5,4.467,4.0,2.669,0.322,4.5,4.12,3.0,3.905,0.444,3.75,3.206,0.065,12.18,0.887,0.743,40.363,3.258,70.525,0.739,44.707,11.996,0.043,42.009,0.913,0.713,15.846,16.0,13.063,0.437,19.0
bbpbuildbot,300,1,4,2,0.5,1.65,0.489,5.061,0.762,0.919,75.0,79.5,44.833,0.28,66.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.105,0.375,1.0,1.638,0.0,7.333,0.776,0.649,1.662,0.515,4.545,0.732,0.94,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
bot-man-jl,5,3,3,3,1.0,196.812,144.041,214.934,0.502,193.889,1.667,1.0,1.155,0.267,1.0,1.0,1.0,0.0,0.0,0.0,1.667,1.0,1.155,0.267,1.0,64.024,0.0,110.893,0.0,96.037,297.588,297.588,282.99,0.336,200.104,297.588,297.588,282.99,0.336,200.104,1.667,1.0,1.155,0.267,1.0
grape-bot,24,1,6,4,0.667,67.144,22.439,145.236,0.722,22.752,4.0,2.0,5.06,0.528,2.75,1.0,1.0,0.0,0.0,0.0,1.846,1.0,1.345,0.333,1.0,33.64,0.0,76.886,0.55,22.101,92.25,21.067,193.629,0.755,34.44,,,0.0,0.0,,24.0,24.0,0.0,0.0,0.0
sjkp,95,10,31,17,0.548,18.752,0.274,54.417,0.88,2.56,3.065,2.0,3.286,0.483,3.0,1.806,1.0,0.98,0.275,2.0,2.639,1.5,2.89,0.458,2.0,1.75,0.0,5.271,0.767,0.512,48.561,2.728,81.374,0.735,61.616,17.876,0.511,53.401,0.868,2.628,9.5,5.0,12.572,0.582,9.0
metalbot,9,2,8,8,1.0,218.051,72.498,292.16,0.612,244.901,1.125,1.0,0.354,0.097,0.0,1.125,1.0,0.354,0.097,0.0,1.125,1.0,0.354,0.097,0.0,0.019,0.0,0.054,0.0,0.0,249.179,72.991,300.898,0.556,351.217,32.324,32.324,45.496,0.498,32.171,4.5,4.5,4.95,0.389,3.5
origamiserviceuser,204,9,4,1,0.25,2.652,0.001,9.188,0.896,0.239,51.0,17.0,79.272,0.647,64.0,3.75,3.5,2.062,0.25,3.25,8.5,4.0,8.663,0.487,8.25,9.2,0.045,22.885,0.848,3.013,13.806,6.2,17.523,0.571,12.077,3.068,0.001,9.865,0.884,0.409,22.667,24.0,16.515,0.382,29.0
thrownullexception,144,10,6,5,0.833,14.432,2.078,31.607,0.796,13.012,24.0,2.0,51.996,0.771,5.25,2.333,1.0,2.805,0.452,0.75,9.0,2.0,17.929,0.675,6.75,104.48,1.114,204.443,0.725,93.704,26.141,1.538,39.127,0.705,38.167,15.789,2.094,32.741,0.794,14.911,14.4,5.5,27.318,0.676,10.0
mattmezza,48,6,21,19,0.905,44.963,9.396,79.729,0.739,50.308,2.286,1.0,4.209,0.516,0.0,1.19,1.0,0.873,0.152,0.0,1.655,1.0,1.969,0.352,0.0,6.47,0.0,23.31,0.569,0.0,68.773,36.564,95.374,0.643,83.837,47.606,3.002,86.446,0.752,53.682,8.0,3.0,9.445,0.549,14.5
paketo-bot,128,7,35,3,0.086,0.489,0.001,1.373,0.853,0.099,3.657,2.0,3.78,0.454,4.0,2.029,2.0,1.043,0.27,2.0,1.91,2.0,1.264,0.302,1.0,0.008,0.0,0.031,0.855,0.0,0.933,0.041,1.799,0.762,1.199,0.546,0.001,1.435,0.82,0.174,18.286,21.0,9.25,0.257,13.5
github-actions[bot],287,7,221,209,0.946,0.0,0.0,0.0,0.0,0.0,1.299,1.0,0.799,0.199,0.0,1.027,1.0,0.211,0.026,0.0,1.007,1.0,0.084,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,4.0,97.954,0.805,6.5
gnrunge,145,1,1,1,1.0,14.539,3.865,26.662,0.727,11.619,145.0,145.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,145.0,145.0,0.0,0.0,0.0,2093.684,2093.684,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,145.0,145.0,0.0,0.0,0.0
cristianadam,300,4,2,2,1.0,0.07,0.001,0.16,0.8,0.078,150.0,150.0,210.718,0.497,149.0,2.0,2.0,1.414,0.25,1.0,100.0,114.0,92.795,0.409,92.0,6.639,3.496,8.65,0.324,8.211,0.5,0.5,0.247,0.175,0.175,0.05,0.0,0.136,0.83,0.005,75.0,74.0,61.248,0.375,37.5
dfinity-bot,117,3,3,1,0.333,17.38,0.025,31.89,0.744,23.996,39.0,10.0,53.731,0.541,47.5,2.0,2.0,1.0,0.222,1.0,4.875,2.0,6.265,0.562,6.0,54.328,0.001,98.053,0.641,78.132,30.963,23.914,29.543,0.49,38.186,14.124,0.001,24.022,0.708,23.996,39.0,27.0,29.866,0.319,28.0
uglyrobot,12,6,4,4,1.0,147.867,0.486,302.817,0.77,142.931,3.0,1.0,4.0,0.5,2.0,2.0,1.0,2.0,0.375,1.0,2.0,1.0,1.673,0.361,1.5,23.719,0.0,57.852,0.496,0.38,296.845,144.098,417.374,0.63,335.997,185.076,0.02,351.061,0.737,190.674,2.0,1.5,1.549,0.333,1.0
anaisbetts,55,11,19,13,0.684,38.986,3.462,76.045,0.787,31.762,2.895,2.0,2.258,0.404,4.0,1.684,1.0,0.885,0.26,1.5,1.618,1.0,0.922,0.27,1.0,2.891,0.0,10.565,0.794,0.082,60.817,20.104,90.88,0.696,86.261,28.174,0.541,60.242,0.81,20.564,5.0,3.0,5.177,0.476,3.5
jongilmore,6,3,4,3,0.75,405.419,130.366,664.343,0.652,134.258,1.5,1.5,0.577,0.167,1.0,1.0,1.0,0.0,0.0,0.0,1.2,1.0,0.447,0.133,0.0,26.073,0.0,58.301,0.0,0.0,474.182,155.697,746.288,0.644,496.941,632.185,222.826,828.028,0.526,748.297,2.0,1.0,1.732,0.333,1.5
ravendb-bot,25,3,1,1,1.0,80.222,0.2,122.837,0.712,159.15,25.0,25.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1925.34,1925.34,0.0,0.0,0.0,,,0.0,0.0,,70.0,0.616,119.452,0.754,74.488,8.333,7.0,3.215,0.16,3.0
pullrequest-michael-dev[bot],8,1,2,1,0.5,206.095,102.288,315.396,0.675,236.035,4.0,4.0,2.828,0.25,2.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,2.828,0.25,2.0,287.328,287.328,406.342,0.5,287.327,868.011,868.011,0.0,0.0,0.0,,,0.0,0.0,,8.0,8.0,0.0,0.0,0.0
koher,7,6,4,2,0.5,79.464,4.084,155.367,0.767,60.43,1.75,2.0,0.5,0.107,0.25,1.75,2.0,0.5,0.107,0.25,1.4,1.0,0.548,0.171,1.0,1.6,0.0,3.577,0.5,0.002,117.195,39.125,185.812,0.666,156.009,79.464,4.084,155.367,0.767,60.43,1.167,1.0,0.408,0.119,0.0
yanghuan,20,5,7,7,1.0,80.918,27.157,127.462,0.66,98.053,2.857,1.0,4.059,0.514,1.0,1.571,1.0,0.787,0.234,1.0,1.818,1.0,1.401,0.336,1.0,16.837,0.0,33.292,0.451,11.797,135.224,100.103,157.71,0.55,99.238,89.094,28.508,137.154,0.656,116.75,4.0,3.0,1.871,0.22,3.0
jsafrane,270,9,41,5,0.122,1.631,0.057,7.507,0.912,0.384,6.585,3.0,8.763,0.584,5.0,1.854,2.0,1.236,0.267,1.0,1.688,1.0,1.314,0.311,1.0,0.743,0.0,5.526,0.916,0.006,2.011,0.124,8.082,0.893,0.592,2.12,0.055,8.314,0.897,0.561,30.0,18.0,39.626,0.598,34.0
cjus,236,13,2,2,1.0,3.781,0.043,13.435,0.89,0.772,118.0,118.0,165.463,0.496,117.0,7.0,7.0,8.485,0.429,6.0,78.667,54.0,92.5,0.508,90.0,295.973,168.182,376.501,0.311,359.868,0.323,0.323,0.387,0.423,0.274,3.781,0.04,14.602,0.904,0.66,18.154,22.0,12.041,0.359,21.0
addonsbot,300,1,3,1,0.333,4.463,0.299,10.272,0.818,3.106,100.0,50.0,86.603,0.333,75.0,1.0,1.0,0.0,0.0,0.0,2.609,1.0,7.288,0.559,1.0,8.971,0.0,29.677,0.71,0.102,2.655,0.026,7.762,0.877,0.688,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
fundamental-bot,300,3,2,1,0.5,3.809,0.058,11.192,0.825,1.243,150.0,150.0,132.936,0.313,94.0,2.5,2.5,0.707,0.1,0.5,9.375,4.0,11.758,0.551,7.0,26.186,0.515,51.8,0.746,23.808,9.711,2.374,18.577,0.743,9.604,3.112,0.0,10.357,0.853,0.598,100.0,147.0,83.144,0.322,72.5
codearoni,9,4,8,8,1.0,167.206,165.722,167.467,0.518,251.84,1.125,1.0,0.354,0.097,0.0,1.125,1.0,0.354,0.097,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.206,165.722,167.467,0.518,251.84,167.738,107.186,216.458,0.588,270.64,2.25,1.0,2.5,0.417,1.25
zeroxbt,112,11,6,3,0.5,14.747,0.372,37.165,0.832,11.386,18.667,5.0,24.32,0.598,31.75,3.0,3.0,1.897,0.315,3.5,1.931,1.0,2.301,0.404,1.0,5.817,0.0,28.686,0.8,0.134,22.8,0.887,48.463,0.8,20.614,19.832,0.747,43.847,0.808,14.706,10.182,7.0,10.371,0.508,10.5
kara,39,3,6,6,1.0,31.509,0.022,123.614,0.935,0.414,6.5,5.0,6.442,0.483,9.5,1.5,1.5,0.548,0.167,1.0,5.571,3.0,5.884,0.513,7.5,20.787,0.097,45.924,0.668,10.928,175.302,34.953,284.128,0.698,202.48,4.327,0.019,13.888,0.897,0.533,13.0,8.0,13.229,0.427,12.5
sourcegraph-buildkite,228,5,9,1,0.111,9.304,0.082,23.63,0.838,2.26,25.333,29.0,16.317,0.339,27.0,3.222,4.0,0.972,0.146,2.0,3.562,1.5,4.724,0.53,4.0,16.109,0.0,52.7,0.829,0.16,17.16,1.048,34.972,0.796,13.258,7.586,0.016,23.396,0.859,0.584,45.6,38.0,25.677,0.277,42.0
guidesbot,203,3,1,1,1.0,6.873,0.001,36.802,0.943,0.332,203.0,203.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,203.0,203.0,0.0,0.0,0.0,1388.397,1388.397,0.0,0.0,0.0,,,0.0,0.0,,6.591,0.001,37.282,0.95,0.243,67.667,96.0,49.943,0.286,43.5
sh-spotbot,42,4,3,1,0.333,39.724,0.0,101.987,0.844,0.072,14.0,3.0,19.053,0.524,16.5,3.333,3.0,0.577,0.067,0.5,10.5,7.5,9.95,0.429,12.0,377.37,358.635,436.821,0.512,736.003,39.74,0.271,68.595,0.665,59.472,39.724,0.0,101.987,0.844,0.072,10.5,13.5,6.351,0.238,4.0
limesurvey-translations,50,1,1,1,1.0,42.691,1.414,70.146,0.739,71.725,50.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,2091.844,2091.844,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,50.0,50.0,0.0,0.0,0.0
arekbalysnordic,249,8,8,4,0.5,2.887,0.108,11.773,0.897,0.831,31.125,18.5,30.197,0.464,25.75,3.0,2.5,1.512,0.26,2.25,1.886,1.0,1.719,0.366,1.0,0.646,0.0,2.324,0.751,0.118,4.815,0.209,15.843,0.877,1.468,4.321,0.169,15.024,0.882,1.479,31.125,21.0,35.057,0.521,24.25
apmmachine,191,4,6,1,0.167,0.458,0.001,1.411,0.867,0.036,31.833,39.0,15.829,0.212,8.25,2.333,3.0,1.033,0.19,1.5,7.64,9.0,4.554,0.329,9.0,2.985,0.003,7.434,0.838,0.016,0.519,0.035,1.156,0.798,0.531,0.144,0.0,0.645,0.932,0.002,47.75,36.0,30.347,0.274,26.75
breakingrobot,7,5,2,2,1.0,18.677,0.352,41.898,0.805,5.318,3.5,3.5,2.121,0.214,1.5,2.5,2.5,2.121,0.3,1.5,1.4,1.0,0.894,0.229,0.0,20.835,0.0,46.589,0.0,0.0,1.971,0.352,3.46,0.688,2.013,22.379,0.506,45.733,0.768,6.955,1.4,1.0,0.548,0.171,1.0
matthewrmshin,8,3,6,3,0.5,71.02,91.307,73.732,0.519,107.927,1.333,1.0,0.516,0.167,0.75,1.167,1.0,0.408,0.119,0.0,1.143,1.0,0.378,0.107,0.0,13.044,0.0,34.511,0.0,0.0,67.639,48.948,80.172,0.576,112.944,124.284,107.928,45.236,0.159,39.715,2.667,2.0,2.082,0.333,2.0
trilinos-autotester,275,6,1,1,1.0,0.884,0.067,2.535,0.855,0.501,275.0,275.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,275.0,275.0,0.0,0.0,0.0,242.315,242.315,0.0,0.0,0.0,,,0.0,0.0,,0.095,0.001,0.601,0.965,0.003,45.833,5.5,99.196,0.778,12.0
marvin-robot,187,6,4,1,0.25,4.0,0.022,9.985,0.809,4.478,46.75,28.0,47.996,0.44,40.75,3.25,3.5,1.708,0.25,1.75,3.896,2.0,7.504,0.571,2.25,10.589,0.001,29.647,0.792,4.932,5.017,3.454,5.31,0.538,4.82,5.5,2.327,10.348,0.702,6.008,31.167,18.5,31.186,0.486,41.25
mattip,266,12,29,13,0.448,1.421,0.078,4.126,0.86,0.546,9.172,4.0,12.992,0.609,7.0,2.207,2.0,1.59,0.331,1.0,1.565,1.0,1.291,0.3,1.0,0.4,0.0,3.155,0.886,0.0,1.826,0.179,4.325,0.826,0.917,1.639,0.118,4.603,0.852,0.599,22.167,11.5,35.203,0.64,16.25
bors,208,5,6,2,0.333,0.099,0.018,0.189,0.749,0.105,34.667,21.0,32.426,0.431,23.25,3.667,4.0,1.506,0.197,1.5,2.568,2.0,2.413,0.43,2.0,0.167,0.0,0.375,0.692,0.083,0.086,0.019,0.144,0.717,0.101,0.034,0.001,0.097,0.833,0.019,41.6,31.0,53.088,0.567,35.0
pcf-redis-bot,36,2,2,1,0.5,59.298,23.153,81.917,0.678,81.768,18.0,18.0,4.243,0.083,3.0,1.5,1.5,0.707,0.167,0.5,7.2,7.0,6.181,0.411,5.0,330.653,117.865,582.845,0.626,166.584,105.545,112.904,101.153,0.434,163.673,27.934,0.467,63.545,0.835,0.57,18.0,18.0,15.556,0.306,11.0
codec-abc,9,5,7,7,1.0,227.642,116.596,316.397,0.626,211.724,1.286,1.0,0.756,0.19,0.0,1.286,1.0,0.756,0.19,0.0,1.286,1.0,0.756,0.19,0.0,23.149,0.0,61.246,0.0,0.0,276.515,116.895,355.048,0.59,346.579,288.564,116.596,426.849,0.618,298.433,1.8,1.0,1.789,0.356,0.0
kubevirt-bot,225,7,13,2,0.154,0.083,0.035,0.144,0.671,0.089,17.308,4.0,28.915,0.684,11.0,1.846,2.0,0.987,0.269,1.0,1.692,1.0,1.498,0.318,1.0,0.07,0.0,0.211,0.69,0.002,0.071,0.033,0.118,0.631,0.069,0.083,0.036,0.146,0.653,0.071,32.143,2.0,54.959,0.712,32.5
windupgithubbot1,23,2,8,1,0.125,0.067,0.034,0.133,0.682,0.056,2.875,3.0,0.835,0.114,0.0,1.875,2.0,0.354,0.058,0.0,2.3,3.0,0.949,0.196,1.75,0.095,0.05,0.19,0.598,0.071,0.058,0.054,0.06,0.433,0.034,0.069,0.012,0.163,0.772,0.057,11.5,11.5,6.364,0.196,4.5
technicalpickles,175,17,36,26,0.722,12.954,0.158,32.732,0.852,4.783,4.861,2.5,5.943,0.56,4.5,1.972,1.0,1.748,0.353,1.0,1.651,1.0,1.986,0.334,1.0,0.403,0.0,2.331,0.845,0.008,21.06,1.934,40.121,0.771,24.148,14.673,0.297,32.189,0.823,12.362,10.294,6.0,12.849,0.545,12.0
azclibot,297,5,9,5,0.556,4.463,0.025,12.562,0.864,1.969,33.0,9.0,54.502,0.673,25.0,1.778,2.0,0.667,0.181,1.0,2.776,2.0,5.417,0.502,1.0,5.453,0.001,37.946,0.943,0.022,6.957,0.478,13.882,0.78,7.872,4.673,0.017,12.975,0.864,1.862,59.4,39.0,51.878,0.427,51.0
libertybot,69,4,3,1,0.333,29.609,0.001,62.111,0.815,22.565,23.0,7.0,32.14,0.56,29.0,2.667,3.0,0.577,0.083,0.5,13.8,18.0,8.786,0.307,13.0,356.61,532.954,328.283,0.284,597.318,57.591,17.962,89.701,0.617,48.163,28.916,0.001,60.729,0.811,23.355,17.25,19.0,10.079,0.272,14.25
mister-roboto,300,2,70,1,0.014,2.881,0.003,9.928,0.897,0.636,4.286,1.0,21.589,0.718,1.0,1.0,1.0,0.0,0.0,0.0,2.174,1.0,3.932,0.479,0.75,1.754,0.0,9.133,0.836,0.001,4.521,0.167,12.415,0.846,2.675,7.622,1.625,16.414,0.746,4.915,150.0,150.0,45.255,0.107,32.0
localstack-bot,206,9,5,1,0.2,4.81,2.182,7.051,0.652,5.993,41.2,2.0,76.031,0.724,23.0,3.0,1.0,3.464,0.48,2.0,6.867,3.0,7.66,0.54,8.0,30.023,0.001,46.943,0.648,51.392,2.941,1.11,4.625,0.683,3.925,4.511,1.198,6.703,0.675,6.533,22.889,20.0,28.72,0.534,18.0
metadaddy,108,11,15,8,0.533,19.455,0.287,56.358,0.858,9.589,7.2,5.0,6.304,0.433,4.5,2.2,2.0,1.265,0.299,2.0,1.929,1.0,1.305,0.328,1.0,19.121,0.0,80.143,0.876,0.207,18.381,2.554,34.361,0.76,21.873,18.514,0.336,48.001,0.841,12.631,9.818,3.0,14.183,0.606,7.0
armbianworker,264,2,2,1,0.5,8.122,3.821,8.498,0.558,12.568,132.0,132.0,185.262,0.496,131.0,1.0,1.0,0.0,0.0,0.0,88.0,40.0,118.528,0.561,111.0,704.032,335.994,943.517,0.341,888.051,12.0,12.0,3.656,0.108,2.585,12.0,12.0,3.656,0.108,2.585,132.0,132.0,185.262,0.496,131.0
yarnbot,35,5,1,1,1.0,60.964,0.049,107.82,0.679,89.528,35.0,35.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,2072.788,2072.788,0.0,0.0,0.0,,,0.0,0.0,,52.535,0.059,85.874,0.686,92.184,7.0,8.0,2.915,0.206,4.0
yannickjadoul,76,6,6,4,0.667,27.173,1.615,53.512,0.774,24.22,12.667,10.0,12.879,0.487,11.75,2.667,2.5,1.633,0.312,2.5,2.923,2.0,3.566,0.431,2.0,47.316,0.001,88.422,0.701,31.703,32.312,11.348,51.467,0.695,46.926,22.83,0.661,46.445,0.794,20.582,12.667,9.0,14.597,0.509,9.25
pjbot,300,1,1,1,1.0,3.185,0.859,4.967,0.696,3.764,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,952.194,952.194,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
rixx,204,11,18,11,0.611,6.488,0.03,17.993,0.882,1.187,11.333,1.0,27.619,0.795,2.0,2.0,1.0,2.196,0.417,0.0,3.238,2.0,3.591,0.485,2.5,4.423,0.003,12.445,0.817,0.111,16.749,1.688,28.143,0.747,18.976,7.269,0.016,20.011,0.887,0.632,18.545,15.0,16.145,0.459,29.0
charris,198,12,3,3,1.0,2.658,0.046,8.22,0.869,1.159,66.0,85.0,56.93,0.367,54.5,5.0,3.0,4.359,0.356,4.0,2.357,2.0,1.502,0.323,2.0,3.17,0.0,9.507,0.781,1.298,3.1,0.07,10.121,0.879,1.525,2.56,0.034,8.38,0.879,0.903,16.5,13.0,15.67,0.501,22.25
biocontainers-bot,19,3,2,2,1.0,75.762,0.643,153.79,0.795,74.548,9.5,9.5,4.95,0.184,3.5,1.5,1.5,0.707,0.167,0.5,3.167,2.0,2.563,0.36,1.5,80.362,0.001,137.902,0.678,110.482,176.31,14.328,264.231,0.667,261.434,110.194,0.247,219.596,0.792,76.19,6.333,3.0,5.774,0.351,5.0
insertish,244,11,22,10,0.455,3.504,0.385,6.331,0.758,1.919,11.091,1.5,23.726,0.737,7.5,2.091,1.0,2.022,0.409,1.75,2.324,1.0,2.782,0.444,2.0,4.197,0.0,16.837,0.816,0.347,3.951,0.743,5.607,0.691,7.047,2.136,0.048,4.246,0.796,0.939,22.182,5.0,49.177,0.741,6.0
files-opensource-bot,300,3,10,1,0.1,0.717,0.0,3.288,0.934,0.005,30.0,30.0,7.242,0.108,3.5,2.0,2.0,0.471,0.09,0.0,1.887,2.0,0.539,0.132,0.0,0.004,0.0,0.012,0.682,0.0,1.354,0.003,4.434,0.915,0.014,0.453,0.0,2.737,0.954,0.003,100.0,134.0,73.185,0.298,67.0
handsomematt,216,11,8,6,0.75,9.703,0.478,24.367,0.836,5.594,27.0,1.5,72.329,0.836,1.0,1.75,1.0,1.389,0.321,1.0,12.0,1.0,18.01,0.676,12.75,97.338,0.0,164.623,0.368,123.944,19.655,2.564,30.223,0.705,19.344,9.162,0.674,18.073,0.795,7.899,19.636,1.0,39.508,0.762,3.0
jit-ci[bot],288,5,57,55,0.965,1.766,0.0,11.882,0.958,0.002,5.053,4.0,6.537,0.38,0.0,1.14,1.0,0.515,0.115,0.0,1.447,1.0,3.082,0.302,0.0,0.08,0.0,0.809,0.793,0.0,2.479,0.0,14.238,0.932,0.001,7.471,0.811,12.284,0.728,11.349,57.6,8.0,113.262,0.733,12.0
mjtalbot,55,13,10,1,0.1,34.188,0.069,86.14,0.851,16.655,5.5,3.5,5.233,0.471,5.25,2.8,2.5,1.751,0.329,2.5,3.438,2.0,3.464,0.458,3.25,28.195,0.091,68.939,0.78,16.193,93.002,23.827,131.649,0.641,151.839,34.037,0.073,88.932,0.85,16.657,4.231,2.0,4.126,0.473,5.0
mstalbot,7,4,4,3,0.75,119.891,10.926,272.079,0.802,21.905,1.75,1.5,0.957,0.25,1.25,1.5,1.5,0.577,0.167,1.0,1.167,1.0,0.408,0.119,0.0,0.035,0.0,0.086,0.0,0.0,143.827,21.604,297.047,0.763,22.051,143.82,21.604,297.051,0.763,22.088,1.75,1.0,1.5,0.321,0.75
k8s-ci-robot,100,5,27,2,0.074,0.03,0.012,0.041,0.621,0.037,3.704,2.0,4.103,0.456,2.0,1.481,1.0,0.58,0.191,1.0,1.493,1.0,0.805,0.242,1.0,0.005,0.0,0.015,0.674,0.001,0.039,0.025,0.045,0.552,0.039,0.037,0.018,0.045,0.595,0.032,20.0,7.0,28.302,0.624,22.0
alibuild,296,8,25,17,0.68,0.183,0.001,0.577,0.875,0.05,11.84,3.0,18.33,0.647,14.0,2.36,2.0,1.63,0.355,2.0,1.91,2.0,1.041,0.27,1.0,0.036,0.0,0.154,0.898,0.0,0.315,0.011,0.763,0.832,0.208,0.168,0.0,0.558,0.883,0.033,37.0,28.0,37.868,0.472,34.0
bradleysuira,285,9,8,3,0.375,5.827,0.026,29.318,0.917,0.824,35.625,33.0,34.67,0.462,24.25,2.625,1.0,2.387,0.423,3.25,2.176,1.0,9.666,0.526,0.0,6.89,0.0,66.382,0.872,0.0,5.786,0.002,40.388,0.966,0.193,11.098,0.03,46.629,0.904,3.033,31.667,14.0,68.453,0.74,16.0
fvdsn,42,5,8,7,0.875,42.971,0.047,195.755,0.942,0.323,5.25,1.0,11.622,0.702,0.25,1.375,1.0,1.061,0.239,0.0,5.25,1.0,11.622,0.702,0.25,0.47,0.0,1.33,0.5,0.0,251.147,130.8,441.018,0.683,153.207,8.104,0.073,17.892,0.659,0.337,8.4,8.0,8.019,0.467,11.0
untitaker,233,12,50,36,0.72,7.988,0.235,22.215,0.865,2.063,4.66,1.0,13.156,0.71,1.0,1.88,1.0,1.913,0.388,1.0,2.044,1.0,1.921,0.387,1.0,1.285,0.0,5.293,0.854,0.054,15.103,1.778,29.852,0.776,16.525,8.636,0.216,24.253,0.87,2.152,19.417,16.5,12.859,0.336,10.75
testcafe-build-bot,84,1,42,2,0.048,12.004,0.0,69.305,0.97,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.012,1.0,0.11,0.012,0.0,1.958,0.0,17.84,0.0,0.0,10.168,0.0,67.671,0.977,0.0,,,0.0,0.0,,84.0,84.0,0.0,0.0,0.0
niveristand-diff-bot,247,2,7,2,0.286,7.395,0.0,40.722,0.95,0.0,35.286,5.0,80.251,0.783,8.0,1.0,1.0,0.0,0.0,0.0,5.614,2.0,7.512,0.61,6.25,2.56,0.0,9.757,0.87,0.003,39.687,0.125,90.997,0.815,27.752,34.412,0.001,85.705,0.831,21.565,123.5,123.5,132.229,0.379,93.5
krainboltgreene,81,14,19,13,0.684,25.221,0.567,65.165,0.85,15.548,4.263,2.0,4.532,0.503,4.0,2.0,1.0,1.291,0.324,2.0,1.976,1.0,2.019,0.383,1.0,2.62,0.0,5.826,0.623,0.63,47.757,9.256,86.772,0.758,51.657,32.625,1.013,75.63,0.831,20.147,5.786,2.0,8.107,0.602,4.5
api-clients-generation-pipeline[bot],216,5,7,1,0.143,1.069,0.0,8.788,0.979,0.001,30.857,32.0,1.464,0.022,2.5,5.0,5.0,0.0,0.0,0.0,1.612,1.0,0.84,0.252,1.0,0.008,0.0,0.084,0.956,0.001,1.72,0.001,11.138,0.967,0.004,1.603,0.0,11.468,0.973,0.001,43.2,35.0,35.302,0.341,14.0
pabio-escobar,237,3,1,1,1.0,9.056,1.174,26.471,0.71,22.681,237.0,237.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,237.0,237.0,0.0,0.0,0.0,2137.242,2137.242,0.0,0.0,0.0,,,0.0,0.0,,4.967,0.097,7.648,0.675,10.383,79.0,2.0,134.235,0.655,116.5
klembot,206,13,6,4,0.667,9.792,0.051,29.811,0.902,0.225,34.333,1.5,51.473,0.657,69.25,4.0,1.0,4.648,0.5,6.75,7.923,4.0,9.051,0.564,11.0,46.539,0.27,79.193,0.649,53.733,31.896,0.148,59.312,0.786,26.315,9.238,0.028,27.848,0.906,0.189,15.846,17.0,13.203,0.441,23.0
peterdettman,24,4,2,1,0.5,87.829,50.428,92.165,0.556,148.128,12.0,12.0,1.414,0.042,1.0,2.5,2.5,2.121,0.3,1.5,2.0,1.5,1.706,0.347,1.0,61.117,0.017,103.212,0.497,70.96,116.969,122.234,89.361,0.408,121.112,87.92,26.636,113.499,0.631,172.462,6.0,2.0,8.679,0.562,4.5
